case,shape,steps,tile,gcups,median_paired_speedup,min_paired_speedup,max_paired_speedup
aspect_1024_256_64,1024x256x64,256,64x4,6.603685838231071,1.0,1.0,1.0
aspect_1024_256_64,1024x256x64,256,32x8,6.936083612694306,1.0507090115174844,1.049586312305984,1.056705880659673
aspect_1024_256_64,1024x256x64,256,32x4,6.960622403646607,1.0537371987488386,1.0528081763754271,1.0628541529805633
aspect_1024_64_256,1024x64x256,256,64x4,7.991919567961913,1.0,1.0,1.0
aspect_1024_64_256,1024x64x256,256,32x8,8.05512158477243,1.0047718748736065,0.9876515843872433,1.030914449676495
aspect_1024_64_256,1024x64x256,256,32x4,7.984969649258611,1.0002188521326827,0.9957200825229658,1.0034600501877715
aspect_256_1024_64,256x1024x64,256,64x4,6.5434905140478365,1.0,1.0,1.0
aspect_256_1024_64,256x1024x64,256,32x8,6.835086467683263,1.0445895538309315,1.0178222887055672,1.0794787023356558
aspect_256_1024_64,256x1024x64,256,32x4,6.859726331717924,1.041300129104401,1.0237442826570589,1.0795985302355962
aspect_256_64_1024,256x64x1024,256,64x4,8.2887157163811,1.0,1.0,1.0
aspect_256_64_1024,256x64x1024,256,32x8,8.238046870755372,0.9941204844807127,0.9709203831473096,0.9956512143417368
aspect_256_64_1024,256x64x1024,256,32x4,8.25185521746601,0.9973465078340982,0.9651085941560674,1.0273330262902485
aspect_64_1024_256,64x1024x256,256,64x4,7.143481210543868,1.0,1.0,1.0
aspect_64_1024_256,64x1024x256,256,32x8,7.148817300750524,1.0008516372157623,0.998413947954258,1.0130921745355734
aspect_64_1024_256,64x1024x256,256,32x4,7.065023728199916,0.9888822383882415,0.9862114192665095,1.0023950823187144
aspect_64_256_1024,64x256x1024,256,64x4,7.881591055762447,1.0,1.0,1.0
aspect_64_256_1024,64x256x1024,256,32x8,7.852185012331792,0.9959904571572147,0.9890233987809579,1.022944367850488
aspect_64_256_1024,64x256x1024,256,32x4,7.809532713496816,0.9903570654628439,0.9712675943616865,1.012843805758288
developed_short_x,1024x256x64,256,64x4,6.570424587167096,1.0,1.0,1.0
developed_short_x,1024x256x64,256,32x8,6.909097786952504,1.050963399138202,1.0235464499428575,1.098727423278489
developed_short_x,1024x256x64,256,32x4,6.8253795017755055,1.0380142015815002,1.0263348290847925,1.061013872915056
eleven_frequencies,128x256x512,256,64x4,8.444315795023714,1.0,1.0,1.0
eleven_frequencies,128x256x512,256,32x8,8.422035817524915,0.997381037683841,0.9956075879639034,0.9991333581252391
eleven_frequencies,128x256x512,256,32x4,8.385058222006124,0.9930436426953375,0.9908318710933026,0.9936144331882645
field_1024_256_64,1024x256x64,256,64x4,5.1864559586162935,1.0,1.0,1.0
field_1024_256_64,1024x256x64,256,32x8,5.392588103025317,1.0388985874824421,1.0144010715073426,1.0423558282883245
field_1024_256_64,1024x256x64,256,32x4,5.401786123329286,1.0406296288185612,1.0166947957743702,1.0422911033750812
field_128_256_512,128x256x512,256,64x4,8.162691917802526,1.0,1.0,1.0
field_128_256_512,128x256x512,256,32x8,7.901813113547088,0.9718004071599746,0.9554390079243936,1.0023703733363847
field_128_256_512,128x256x512,256,32x4,7.831779076437018,0.9592643203098434,0.9521880341673175,1.0322459703984503
field_64_256_1024,64x256x1024,256,64x4,7.812201580962287,1.0,1.0,1.0
field_64_256_1024,64x256x1024,256,32x8,7.872961411567427,1.0050884645892155,0.9799048761129641,1.0270967371157842
field_64_256_1024,64x256x1024,256,32x4,7.611949831759546,0.973072503557694,0.9694574814925746,1.006996000606125
irregular_1024_256_63,1024x256x63,256,64x4,6.864267370179194,1.0,1.0,1.0
irregular_1024_256_63,1024x256x63,256,32x8,7.1961116539994725,1.048188891417282,1.042666732435389,1.0491549999062464
irregular_1024_256_63,1024x256x63,256,32x4,7.21749322478644,1.051789661004933,1.0450376552382334,1.052618121638914
irregular_1024_256_65,1024x256x65,256,64x4,6.461558157417495,1.0,1.0,1.0
irregular_1024_256_65,1024x256x65,256,32x8,6.898064265589219,1.06735735476067,1.037662180337622,1.0978784085412936
irregular_1024_256_65,1024x256x65,256,32x4,6.961839390402728,1.079593093458341,1.042524403436514,1.104577499923206
irregular_71_479_503,71x479x503,256,64x4,8.017418394872742,1.0,1.0,1.0
irregular_71_479_503,71x479x503,256,32x8,8.177628939011791,0.9996244871406983,0.9952342057906596,1.0452407857612689
irregular_71_479_503,71x479x503,256,32x4,8.106510709418387,0.9948792493422869,0.9897207464816375,1.0321305212415268
irregular_97_289_593,97x289x593,256,64x4,8.1212490134397,1.0,1.0,1.0
irregular_97_289_593,97x289x593,256,32x8,8.206146621248164,1.0100419275509909,0.9619676146496592,1.0327090054008996
irregular_97_289_593,97x289x593,256,32x4,8.116013153164353,0.9954977278765302,0.9551448385273574,1.0354238834375096
long_short_x,1024x256x64,1024,64x4,6.553538810597962,1.0,1.0,1.0
long_short_x,1024x256x64,1024,32x8,6.920279915895764,1.0546319233517123,1.0538493833547113,1.0599476535534735
long_short_x,1024x256x64,1024,32x4,6.933211019642275,1.0579409222567588,1.0550732639210803,1.0609739570368806
smooth,128x256x512,256,64x4,7.46633099569355,1.0,1.0,1.0
smooth,128x256x512,256,32x8,7.393273226629414,0.9921955601891435,0.9681607579355341,1.0288228849694363
smooth,128x256x512,256,32x4,7.497933163715711,1.00765772478577,0.9625472810761382,1.0090516320085483
volume_128_256_256,128x256x256,256,64x4,8.147038260910326,1.0,1.0,1.0
volume_128_256_256,128x256x256,256,32x8,8.20534421884079,1.0061623524555785,1.0055518365355482,1.0099454751920665
volume_128_256_256,128x256x256,256,32x4,8.131165411274383,0.9976384981248145,0.9943808474371968,0.9992756033210958
volume_128_256_512,128x256x512,256,64x4,8.34421253669107,1.0,1.0,1.0
volume_128_256_512,128x256x512,256,32x8,8.316065626151055,0.9965361448546353,0.9639478275067311,1.0426413841918445
volume_128_256_512,128x256x512,256,32x4,8.363519515457716,0.9970865591632727,0.975954880205968,1.0225866085005104
volume_128_256_768,128x256x768,256,64x4,8.5496393089285,1.0,1.0,1.0
volume_128_256_768,128x256x768,256,32x8,8.491243853059345,0.9961345573998306,0.9638876148310322,1.0300318364153798
volume_128_256_768,128x256x768,256,32x4,8.418088744392154,0.9850866723318205,0.9582859959854357,1.027345990086926
volume_256_256_256,256x256x256,256,64x4,8.500480265577558,1.0,1.0,1.0
volume_256_256_256,256x256x256,256,32x8,8.53199110874618,1.0042621564878234,0.9867916036771975,1.0091227926814927
volume_256_256_256,256x256x256,256,32x4,8.521638051599083,1.0078177417619327,0.955875936331677,1.033112409220494
